fold,train_years,val_year,test_year,baseline_AP,phase1_AP,delta,pct,phase1_f1,phase1_iou,phase1_precision,phase1_recall
0,"2018,2019",2020,2021,0.475177526473999,0.5308555364608765,0.05567800998687744,11.717307087317408,0.049364518374204636,0.02530689351260662,0.025328118354082108,0.9679460525512695
1,"2018,2019",2021,2020,0.36809083819389343,0.41989290714263916,0.05180206894874573,14.073175307193807,0.038470230996608734,0.01961236260831356,0.01964152790606022,0.9296205639839172
2,"2018,2020",2019,2021,0.4829407036304474,0.5277610421180725,0.04482033848762512,9.280712549324118,0.05691872909665108,0.02929302491247654,0.029319945722818375,0.9696049094200134
3,"2018,2020",2021,2019,0.21573223173618317,0.2660660147666931,0.05033378303050995,23.33160076518498,0.02022358775138855,0.010215086862444878,0.0102335000410676,0.8502394556999207
4,"2018,2021",2019,2020,0.35966917872428894,0.45448988676071167,0.09482070803642273,26.363312078266592,0.09017928689718246,0.04721871763467789,0.047540370374917984,0.8746702075004578
5,"2018,2021",2020,2019,0.21256445348262787,0.2828378975391388,0.07027344405651093,33.05982863322636,0.0235199723392725,0.011899929493665695,0.011925782077014446,0.845900297164917
6,"2019,2020",2018,2021,0.5031441450119019,0.5168410539627075,0.013696908950805664,2.722263408328376,0.048445336520671844,0.024823974817991257,0.024844413623213768,0.9679185748100281
7,"2019,2020",2021,2018,0.2878749966621399,0.24734629690647125,-0.04052869975566864,-14.078575849098327,0.027670912444591522,0.014029561541974545,0.014040889218449593,0.9456179141998291
8,"2019,2021",2018,2020,0.35156887769699097,0.43515947461128235,0.08359059691429138,23.776449571379914,0.07037346065044403,0.036469992250204086,0.03663766384124756,0.8885039687156677
9,"2019,2021",2020,2018,0.3592774569988251,0.3988466262817383,0.03956916928291321,11.013540791968646,0.056244343519210815,0.028935912996530533,0.029027562588453293,0.9016199111938477
10,"2020,2021",2018,2019,0.20829327404499054,0.2645871639251709,0.05629388988018036,27.026263876394346,0.022271400317549706,0.011261100880801678,0.011283736675977707,0.848793089389801
11,"2020,2021",2019,2018,0.3644006550312042,0.42258721590042114,0.05818656086921692,15.967743215015437,0.056000299751758575,0.028806744143366814,0.028868170455098152,0.9312155246734619
